epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2052.79,0.64125,0.28249,0.83542,0.90508,0.84989,0.88521,0.54205,1.50277,0.68578,1.56939,0.000476145,0.000476145,0.000476145
2,4058.14,0.64471,0.29068,0.83387,0.90027,0.84036,0.87487,0.52411,1.46788,0.6771,1.50653,0.000889615,0.000889615,0.000889615
3,6049.85,0.65335,0.29451,0.83513,0.89882,0.86134,0.89062,0.5376,1.47498,0.70336,1.50036,0.00124021,0.00124021,0.00124021
4,8045.17,0.65614,0.296,0.83662,0.90511,0.86185,0.89286,0.53652,1.49141,0.64124,1.57274,0.00114606,0.00114606,0.00114606
5,10035.6,0.64957,0.29326,0.83427,0.90448,0.84619,0.88759,0.53909,1.47812,0.66574,1.55333,0.00105174,0.00105174,0.00105174
6,12027,0.54873,0.26049,0.81519,0.90015,0.85727,0.88646,0.54419,1.48094,0.63648,1.64546,0.00095743,0.00095743,0.00095743
7,14012.8,0.53237,0.25293,0.81279,0.90378,0.82884,0.87866,0.53851,1.46653,0.65788,1.55803,0.000863116,0.000863116,0.000863116
8,15997.5,0.52255,0.24811,0.81114,0.90748,0.84256,0.88158,0.53381,1.50747,0.6769,1.58144,0.000768802,0.000768802,0.000768802
9,17980.1,0.5094,0.24233,0.80828,0.90598,0.82994,0.88307,0.54087,1.4899,0.69156,1.60276,0.000674488,0.000674488,0.000674488
10,19964.3,0.49591,0.23554,0.80637,0.90663,0.8386,0.88639,0.54478,1.49565,0.69714,1.57496,0.000580174,0.000580174,0.000580174
11,21946.6,0.48329,0.2294,0.80228,0.9044,0.8439,0.887,0.54065,1.48388,0.69652,1.5425,0.00048586,0.00048586,0.00048586
12,23930.1,0.47213,0.22426,0.80089,0.90642,0.84605,0.88882,0.54387,1.49944,0.66851,1.58873,0.000391546,0.000391546,0.000391546
13,25910.9,0.46097,0.21847,0.79892,0.9146,0.83815,0.88937,0.54869,1.46677,0.65889,1.56125,0.000297232,0.000297232,0.000297232
14,27884.7,0.45182,0.21299,0.79758,0.90811,0.84347,0.88409,0.5414,1.47377,0.66649,1.57617,0.000202918,0.000202918,0.000202918
15,29847.7,0.44219,0.20946,0.79594,0.91091,0.84865,0.88876,0.54777,1.47403,0.67101,1.57777,0.000108604,0.000108604,0.000108604
