epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2017.07,0.81546,0.36547,0.89171,0.86673,0.81624,0.86371,0.50215,1.53641,0.76439,1.47237,0.000476145,0.000476145,0.000476145
2,3989.22,0.83247,0.38065,0.89355,0.86994,0.82416,0.86962,0.50781,1.51908,0.7458,1.50622,0.000873899,0.000873899,0.000873899
3,5956.78,0.72005,0.34479,0.86835,0.86059,0.79315,0.8511,0.50242,1.45909,0.71859,1.43749,0.00119306,0.00119306,0.00119306
4,7923.49,0.70446,0.3343,0.86216,0.86682,0.82627,0.87591,0.52446,1.49741,0.66228,1.53474,0.00107532,0.00107532,0.00107532
5,9889.49,0.68265,0.3254,0.85608,0.84411,0.81285,0.86377,0.52537,1.46887,0.65399,1.4731,0.00095743,0.00095743,0.00095743
6,11856,0.66418,0.31798,0.85435,0.86391,0.80433,0.85784,0.51361,1.51951,0.82185,1.49749,0.000839537,0.000839537,0.000839537
7,13824.3,0.64476,0.30688,0.84814,0.8824,0.81535,0.87385,0.52571,1.48487,0.64189,1.51215,0.000721645,0.000721645,0.000721645
8,15785.7,0.62606,0.29714,0.84443,0.88808,0.82162,0.86915,0.52481,1.51138,0.67143,1.52126,0.000603752,0.000603752,0.000603752
9,17748.1,0.60162,0.28594,0.83764,0.87833,0.82698,0.87409,0.52665,1.46598,0.67062,1.48153,0.00048586,0.00048586,0.00048586
10,19714.4,0.58135,0.27742,0.83291,0.88155,0.82492,0.87569,0.52781,1.44472,0.61384,1.46783,0.000367967,0.000367967,0.000367967
11,21679.5,0.55738,0.26539,0.8288,0.88889,0.8125,0.87078,0.52528,1.48588,0.62732,1.52808,0.000250075,0.000250075,0.000250075
12,23643.9,0.53844,0.25625,0.82557,0.87268,0.80925,0.86857,0.52114,1.4799,0.65245,1.50176,0.000132183,0.000132183,0.000132183
