epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2018.13,0.74609,0.33448,0.87281,0.87895,0.81506,0.86871,0.51091,1.49643,0.69492,1.48913,0.000476145,0.000476145,0.000476145
2,4003.9,0.74861,0.34152,0.87082,0.87453,0.81674,0.86858,0.51235,1.49847,0.69251,1.49467,0.00079532,0.00079532,0.00079532
3,5980.4,0.7577,0.34555,0.87374,0.86847,0.83144,0.87691,0.51833,1.45036,0.62323,1.43834,0.000957304,0.000957304,0.000957304
4,7955.79,0.73892,0.33635,0.86964,0.89219,0.84062,0.8854,0.53196,1.43662,0.62189,1.4705,0.000721645,0.000721645,0.000721645
5,9934.33,0.71122,0.32117,0.86202,0.89372,0.84016,0.88792,0.53827,1.4221,0.61883,1.46224,0.00048586,0.00048586,0.00048586
6,11908.7,0.68402,0.30956,0.85906,0.88776,0.84642,0.89022,0.54235,1.43154,0.64534,1.4739,0.000250075,0.000250075,0.000250075
