epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2017.09,0.67992,0.30187,0.8443,0.89684,0.84214,0.88238,0.53264,1.47595,0.71222,1.54582,0.000476145,0.000476145,0.000476145
2,3995.25,0.68533,0.30765,0.84314,0.89674,0.84457,0.87804,0.52823,1.49348,0.70084,1.53096,0.000889615,0.000889615,0.000889615
3,5967.45,0.69393,0.31176,0.84506,0.90529,0.85594,0.8861,0.53367,1.51472,0.70577,1.53768,0.00124021,0.00124021,0.00124021
4,7933.74,0.6952,0.31377,0.8462,0.90005,0.86014,0.89592,0.5417,1.47227,0.61975,1.50725,0.00114606,0.00114606,0.00114606
5,9898.5,0.69206,0.31079,0.84439,0.89895,0.87236,0.89447,0.53656,1.48989,0.66409,1.51547,0.00105174,0.00105174,0.00105174
6,11863.8,0.59076,0.27804,0.82543,0.90072,0.86195,0.89514,0.54561,1.47578,0.62011,1.53366,0.00095743,0.00095743,0.00095743
7,13830.8,0.57287,0.27023,0.82241,0.90227,0.85291,0.89164,0.53285,1.50894,0.67401,1.55384,0.000863116,0.000863116,0.000863116
8,15799.3,0.56045,0.26351,0.82008,0.89178,0.85063,0.88455,0.53588,1.49419,0.65534,1.5469,0.000768802,0.000768802,0.000768802
9,17758.6,0.54281,0.25636,0.81625,0.90545,0.84297,0.8927,0.53877,1.50127,0.72002,1.54954,0.000674488,0.000674488,0.000674488
10,19720,0.53179,0.25113,0.81443,0.88934,0.84761,0.8862,0.5393,1.47281,0.70086,1.56406,0.000580174,0.000580174,0.000580174
11,21678.4,0.51544,0.24329,0.8098,0.90246,0.84603,0.88404,0.54023,1.48897,0.66547,1.5448,0.00048586,0.00048586,0.00048586
12,23637.4,0.50157,0.23689,0.80715,0.90498,0.83866,0.88372,0.53883,1.47525,0.64819,1.53042,0.000391546,0.000391546,0.000391546
13,25599.5,0.48876,0.23021,0.8051,0.91113,0.83114,0.88337,0.54196,1.47593,0.62857,1.54975,0.000297232,0.000297232,0.000297232
14,27560.9,0.47717,0.22414,0.80307,0.90823,0.83937,0.88199,0.54146,1.47303,0.64769,1.55427,0.000202918,0.000202918,0.000202918
15,29517.1,0.46376,0.21887,0.80059,0.91089,0.849,0.88928,0.54558,1.47801,0.65031,1.56671,0.000108604,0.000108604,0.000108604
