epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2019.41,0.61326,0.27071,0.82907,0.90027,0.84853,0.88239,0.5371,1.48314,0.68781,1.57952,0.000476145,0.000476145,0.000476145
2,3996.42,0.61248,0.27695,0.82639,0.90295,0.84304,0.87312,0.53242,1.46094,0.67905,1.52687,0.000889615,0.000889615,0.000889615
3,5964.8,0.62001,0.28094,0.8275,0.89251,0.8516,0.88172,0.52861,1.50402,0.68771,1.5416,0.00124021,0.00124021,0.00124021
4,7934.23,0.62095,0.281,0.82834,0.89258,0.8463,0.88949,0.53535,1.51339,0.66415,1.60616,0.00114606,0.00114606,0.00114606
5,9904.98,0.61607,0.27835,0.82644,0.89784,0.85821,0.88473,0.54216,1.47025,0.66447,1.58614,0.00105174,0.00105174,0.00105174
6,11866.6,0.51645,0.24681,0.8079,0.90972,0.84317,0.87985,0.5459,1.47632,0.63423,1.64508,0.00095743,0.00095743,0.00095743
7,13828.4,0.5032,0.24009,0.80608,0.90811,0.82371,0.87359,0.53522,1.45186,0.63141,1.57391,0.000863116,0.000863116,0.000863116
8,15788.5,0.4922,0.23511,0.80415,0.8999,0.85883,0.88594,0.54313,1.48011,0.62245,1.59268,0.000768802,0.000768802,0.000768802
9,17750.4,0.48065,0.23042,0.80169,0.90337,0.85378,0.88933,0.54439,1.47954,0.63064,1.61461,0.000674488,0.000674488,0.000674488
10,19716.5,0.4726,0.22552,0.80094,0.91011,0.85117,0.89185,0.54845,1.48067,0.6482,1.59778,0.000580174,0.000580174,0.000580174
11,21679.6,0.45896,0.21947,0.79699,0.9112,0.85169,0.89347,0.54994,1.4688,0.66758,1.56191,0.00048586,0.00048586,0.00048586
12,23649,0.44945,0.21449,0.79598,0.90894,0.8527,0.88851,0.54607,1.46059,0.62112,1.58375,0.000391546,0.000391546,0.000391546
13,25609.4,0.43953,0.20934,0.79432,0.91261,0.84913,0.88923,0.55058,1.45336,0.62126,1.58724,0.000297232,0.000297232,0.000297232
14,27570.6,0.4329,0.20537,0.79334,0.90986,0.83884,0.87964,0.54375,1.45291,0.60633,1.5852,0.000202918,0.000202918,0.000202918
15,29531.8,0.42576,0.20218,0.79238,0.91455,0.85126,0.8892,0.5498,1.45302,0.62096,1.58091,0.000108604,0.000108604,0.000108604
