epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2012.59,1.79237,1.11535,1.4609,0.78867,0.73964,0.77151,0.37965,1.67805,0.89428,1.49829,0.000476145,0.000476145,0.000476145
2,3992.85,1.21555,0.60054,1.01293,0.86814,0.81139,0.83957,0.4431,1.69936,0.94514,1.53299,0.000763888,0.000763888,0.000763888
3,5968.01,1.09852,0.52142,0.97259,0.8628,0.82441,0.85583,0.46306,1.67069,0.86629,1.50752,0.000863002,0.000863002,0.000863002
4,7937.5,1.02403,0.47326,0.9494,0.88083,0.83054,0.86846,0.47901,1.63425,0.79486,1.49266,0.000580174,0.000580174,0.000580174
5,9908.03,0.94416,0.429,0.92669,0.88718,0.83727,0.86973,0.49212,1.55221,0.70074,1.44938,0.000297232,0.000297232,0.000297232
