epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2018.01,0.94801,0.43736,0.92774,0.87739,0.80775,0.85376,0.47685,1.59962,0.86852,1.49434,0.000476145,0.000476145,0.000476145
2,3995.83,0.98221,0.45839,0.93555,0.88251,0.8277,0.86107,0.48386,1.55944,0.77478,1.4937,0.000873899,0.000873899,0.000873899
3,5961.12,0.8873,0.42596,0.91783,0.87266,0.80473,0.85955,0.49512,1.52778,0.75219,1.44812,0.00119306,0.00119306,0.00119306
4,7921.61,0.84671,0.40161,0.90407,0.87212,0.82349,0.87341,0.51199,1.44788,0.63348,1.41212,0.00107532,0.00107532,0.00107532
5,9876.02,0.81071,0.38215,0.89257,0.87298,0.78972,0.85573,0.50278,1.4958,0.70534,1.44505,0.00095743,0.00095743,0.00095743
6,11835.2,0.78081,0.36817,0.88683,0.85001,0.79654,0.84489,0.49338,1.50474,0.7196,1.43502,0.000839537,0.000839537,0.000839537
7,13793.4,0.75073,0.35261,0.87728,0.85662,0.80451,0.85891,0.49336,1.55273,0.6917,1.47326,0.000721645,0.000721645,0.000721645
8,15750.6,0.72422,0.33875,0.87137,0.88136,0.82964,0.87595,0.51944,1.4855,0.74094,1.42645,0.000603752,0.000603752,0.000603752
9,17708.7,0.6958,0.32568,0.86303,0.87207,0.81708,0.87122,0.51468,1.46815,0.72033,1.41578,0.00048586,0.00048586,0.00048586
10,19664.8,0.6676,0.31318,0.85543,0.86687,0.82471,0.87603,0.51124,1.4603,0.69203,1.3953,0.000367967,0.000367967,0.000367967
11,21624,0.63609,0.29776,0.84916,0.86155,0.8179,0.86762,0.51197,1.4626,0.64936,1.42656,0.000250075,0.000250075,0.000250075
12,23578.9,0.60838,0.28549,0.84333,0.86484,0.80276,0.87268,0.51478,1.46248,0.69332,1.41966,0.000132183,0.000132183,0.000132183
